stop_order,global_rank,daily_tier,intersection_name,connected_way_names,priority_reason,recommended_action,lat,lon,visited,response,sign_followup,sign_permission,notes
1,151,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
2,152,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
3,153,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,flyer-only / later saturation,,,,,,,
4,154,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,flyer-only / later saturation,,,,,,,
5,155,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
6,156,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,flyer-only / later saturation,,,,,,,
7,157,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
8,158,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,flyer-only / later saturation,,,,,,,
9,159,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
10,160,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,visit when nearby; flyer first,,,,,,,
11,161,B,Node ,,higher-order to neighbourhood connector; multiple street-front exposures,flyer-only / later saturation,,,,,,,
12,162,B,Node ,,multiple street-front exposures,flyer-only / later saturation,,,,,,,
13,163,B,Node ,,multiple street-front exposures,flyer-only / later saturation,,,,,,,
14,164,B,Node ,,multiple street-front exposures,flyer-only / later saturation,,,,,,,
15,165,B,Node ,,multiple street-front exposures,flyer-only / later saturation,,,,,,,
