stop_order,global_rank,daily_tier,intersection_area,suggested_houses_to_flyer,lat,lon,flyer_delivered,flyer_date,notes
1,151,B,Bayfield & 9th Avenue East,8,44.5844227,-80.9219405,,,
2,152,B,9th Avenue East & Bayfield,8,44.5832964,-80.9226593,,,
3,153,B,9th Avenue W & Alpha Street,8,44.5681552,-80.9597354,,,
4,154,B,1st Avenue West & 10th Street West,8,44.567585,-80.9445738,,,
5,155,B,2nd Avenue West & 10th Street West,8,44.5674013,-80.9461314,,,
6,156,B,3rd Avenue West & 10th Street West,8,44.5672177,-80.9477944,,,
7,157,B,10th Street West & 7th Avenue West,8,44.5666666,-80.9573662,,,
8,158,B,10th Street West & 8th Avenue West,8,44.5664077,-80.9595858,,,
9,159,B,15th Street East & 9th Avenue East,8,44.569964,-80.9284441,,,
10,160,B,9th Avenue East & 16th Street East,8,44.5738586,-80.9268984,,,
11,161,B,8th Street East & 3rd Avenue East,8,44.564163,-80.9405331,,,
12,162,B,3rd Avenue West & Eddy Sargeant Parkway,8,44.5835319,-80.9472745,,,
13,163,B,East Bayshore Road & Grey Road 15,8,44.6084104,-80.9134758,,,
14,164,B,16th Avenue East & 18th Avenue East,8,44.570903,-80.9154099,,,
15,165,B,4th Avenue West & 14th Street West,8,44.5740922,-80.9510693,,,
