global_rank,daily_tier,daily_priority_score,canonical_intersection_name,display_intersection_name,canonical_intersection_key,representative_lat,representative_lon,connected_highway_tags,degree_merged,intersection_priority,visibility_score,sign_value,route_bucket,recommended_action,priority_reason,suggested_day,merged_count,merged_node_ids,flyer_delivered,flyer_date,knock_due_date,knocked,knock_date,response,sign_followup,sign_permission,followup_notes
1,S,130,10th St E & 10th St W & 1st Ave E,1st Avenue East & 10th Street East & 10th Street West,10th st e + 10th st w + 1st ave e,44.5676543,-80.943931,primary | unclassified,3,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,1,-80943931:44567654,,,,,,,,,
2,S,130,10th St E & 2nd Ave E,2nd Avenue East & 10th Street East,10th st e + 2nd ave e,44.5677225,-80.9432324,primary | tertiary | unclassified,2,A,100,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 1,1,-80943232:44567723,,,,,,,,,
3,S,130,10th St E & 3rd Ave E,3rd Avenue East & 10th Street East,10th st e + 3rd ave e,44.5679303,-80.9414077,primary | secondary,2,A,100,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures,Day 1,1,-80941408:44567930,,,,,,,,,
4,S,130,10th St E & 4th Ave E,4th Avenue East & 10th Street East,10th st e + 4th ave e,44.5681479,-80.939556,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,1,-80939556:44568148,,,,,,,,,
5,S,130,10th St E & 5th Ave E,5th Avenue East & 10th Street East,10th st e + 5th ave e,44.5683714,-80.9377238,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,1,-80937724:44568371,,,,,,,,,
6,S,130,10th St E & 6th Ave E,10th Street East & 6th Avenue East,10th st e + 6th ave e,44.5688037,-80.9344327,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,1,-80934433:44568804,,,,,,,,,
7,S,130,10th St E & 7th Ave E,7th Avenue East & 10th Street East,10th st e + 7th ave e,44.56895765,-80.93308215,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,2,-80933072:44568910 | -80933093:44569005,,,,,,,,,
8,S,130,10th St E & 8th Ave E,8th Avenue East & 10th Street East,10th st e + 8th ave e,44.56921035,-80.930824,primary | residential,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,2,-80930454:44569249 | -80931194:44569172,,,,,,,,,
9,S,130,10th St E & 9th Ave E & 9th St E,10th Street East & 9th Avenue East & 9th Street East,10th st e + 9th ave e + 9th st e,44.569464800000006,-80.9283597,primary | tertiary,3,A,100,high,highest visibility corner,visit early; good sign ask potential,two+ higher-order roads; multiple street-front exposures ; multiple street-front exposures,Day 1,4,-80928281:44569424 | -80928301:44569520 | -80928417:44569410 | -80928439:44569505,,,,,,,,,
10,S,130,10th St W & 1st Ave W,1st Avenue West & 10th Street West,10th st w + 1st ave w,44.567585,-80.9445738,primary | unclassified,2,A,100,high,highest visibility corner,visit early; good sign ask potential,higher-order to neighbourhood connector; multiple street-front exposures,Day 1,1,-80944574:44567585,,,,,,,,,
