global_rank,daily_tier,daily_priority_score,node_id,lat,lon,connected_way_names,connected_highway_tags,degree_merged,intersection_priority,visibility_score,sign_value,route_bucket,priority_reason,canvass_order,suggested_day,recommended_action
1,S,130,-80895256:44577267,44.577267,-80.8952565,28th Avenue East | 16th Street East | Highway 26,tertiary | secondary | primary,3,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
2,S,130,-80898052:44576910,44.5769102,-80.8980521,16th Street East | 27th Avenue East,primary | residential,2,A,100,high,highest visibility corner,higher-order to neighbourhood connector; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
3,S,130,-80907702:44575784,44.5757839,-80.9077024,20th Avenue East | 16th Street East,unclassified | primary,2,A,100,high,highest visibility corner,higher-order to neighbourhood connector; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
4,S,130,-80913024:44575155,44.5751546,-80.9130237,18th Avenue East | 16th Street East,tertiary | primary,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
5,S,130,-80913041:44575246,44.5752455,-80.9130408,18th Avenue East | 16th Street East,unclassified | tertiary | primary,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
6,S,130,-80913182:44575143,44.5751429,-80.9131816,16th Street East | 18th Avenue East,primary | tertiary,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
7,S,130,-80913194:44575226,44.5752263,-80.9131942,18th Avenue East | 16th Street East,unclassified | primary | tertiary,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
8,S,130,-80916294:44574780,44.5747796,-80.9162939,16th Street East | 16th Avenue East,primary | tertiary,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
9,S,130,-80916306:44574852,44.5748516,-80.9163064,16th Street East | 16th Avenue East,primary | tertiary,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
10,S,130,-80916382:44574771,44.5747707,-80.9163821,16th Avenue East | 16th Street East,tertiary | primary | unclassified,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
11,S,130,-80916407:44574843,44.5748427,-80.9164072,16th Avenue East | 16th Street East,tertiary | primary | unclassified,2,A,100,high,highest visibility corner,two+ higher-order roads; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
12,S,130,-80920123:44601718,44.6017183,-80.9201229,East Bayshore Road | 32nd Street East | East Bay Shore Road,secondary | unclassified,3,A,100,high,highest visibility corner,higher-order to neighbourhood connector; multiple street-front exposures,1,Day 1,visit first; highest sign ask potential
