site,household,adult_count,household_energy_gj_year,food_adult_equivalents,mathematical_food_area_ha,heating_area_ha,resilience_surplus_allowance_ha,total_robust_productive_area_ha,arc_policy_allocation_ha,land_surplus_or_deficit_ha,arc_policy_status,food_surplus_or_deficit_at_arc_allocation_gj
wetter_productive,one_adult,1,3.375074,0.868891,0.189604,0.195304,0.57,0.954908,1,0.045092,sufficient against robust-area scenario,10.949022
wetter_productive,adult_plus_child,1,5.846183,1.505062,0.328426,0.195304,0.57,1.09373,1,-0.09373,deficit against robust-area scenario,8.477913
wetter_productive,two_adults,2,7.768697,2,0.436428,0.195304,0.57,1.201732,2,0.798268,sufficient against robust-area scenario,24.356028
wetter_productive,two_adults_plus_one_child,2,10.239806,2.636171,0.57525,0.195304,0.593813,1.364367,2,0.635633,sufficient against robust-area scenario,21.884919
wetter_productive,two_adults_plus_two_children,2,14.050693,3.617259,0.789337,0.195304,0.647334,1.631975,2,0.368025,sufficient against robust-area scenario,18.074032
wetter_productive,two_adults_plus_three_children,2,16.677312,4.293465,0.936894,0.195304,0.684224,1.816422,2,0.183578,sufficient against robust-area scenario,15.447413
ordinary_mesic,one_adult,1,3.375074,0.868891,0.189604,0.347641,0.57,1.107245,1,-0.107245,deficit against robust-area scenario,8.237327
ordinary_mesic,adult_plus_child,1,5.846183,1.505062,0.328426,0.347641,0.57,1.246067,1,-0.246067,deficit against robust-area scenario,5.766218
ordinary_mesic,two_adults,2,7.768697,2,0.436428,0.347641,0.57,1.354069,2,0.645931,sufficient against robust-area scenario,21.644334
ordinary_mesic,two_adults_plus_one_child,2,10.239806,2.636171,0.57525,0.347641,0.593813,1.516704,2,0.483296,sufficient against robust-area scenario,19.173225
ordinary_mesic,two_adults_plus_two_children,2,14.050693,3.617259,0.789337,0.347641,0.647334,1.784312,2,0.215688,sufficient against robust-area scenario,15.362338
ordinary_mesic,two_adults_plus_three_children,2,16.677312,4.293465,0.936894,0.347641,0.684224,1.968759,2,0.031241,sufficient against robust-area scenario,12.735719
dry,one_adult,1,3.375074,0.868891,0.252806,0.579401,0.57,1.402207,1,-0.402207,deficit against robust-area scenario,2.240121
dry,adult_plus_child,1,5.846183,1.505062,0.437901,0.579401,0.57,1.587302,1,-0.587302,deficit against robust-area scenario,-0.230988
dry,two_adults,2,7.768697,2,0.581904,0.579401,0.595476,1.756781,2,0.243219,sufficient against robust-area scenario,11.19697
dry,two_adults_plus_one_child,2,10.239806,2.636171,0.767,0.579401,0.64175,1.988151,2,0.011849,sufficient against robust-area scenario,8.725861
dry,two_adults_plus_two_children,2,14.050693,3.617259,1.052449,0.579401,0.713112,2.344962,2,-0.344962,deficit against robust-area scenario,4.914974
dry,two_adults_plus_three_children,2,16.677312,4.293465,1.249193,0.579401,0.762298,2.590892,2,-0.590892,deficit against robust-area scenario,2.288355
shallow_rocky_marginal,one_adult,1,3.375074,0.868891,0.379208,0.579401,0.57,1.528609,1,-0.528609,deficit against robust-area scenario,0.36839
shallow_rocky_marginal,adult_plus_child,1,5.846183,1.505062,0.656851,0.579401,0.614213,1.850465,1,-0.850465,deficit against robust-area scenario,-2.102719
shallow_rocky_marginal,two_adults,2,7.768697,2,0.872856,0.579401,0.668214,2.120471,2,-0.120471,deficit against robust-area scenario,4.875081
shallow_rocky_marginal,two_adults_plus_one_child,2,10.239806,2.636171,1.150499,0.579401,0.737625,2.467525,2,-0.467525,deficit against robust-area scenario,2.403972
shallow_rocky_marginal,two_adults_plus_two_children,2,14.050693,3.617259,1.578674,0.579401,0.844669,3.002744,2,-1.002744,deficit against robust-area scenario,-1.406915
shallow_rocky_marginal,two_adults_plus_three_children,2,16.677312,4.293465,1.873789,0.579401,0.918447,3.371637,2,-1.371637,deficit against robust-area scenario,-4.033534
