site,household,module,household_food_gj_year,perennial_food_percent,annual_food_percent,livestock_food_percent,protein_coverage_percent,annual_crop_area_ha,perennial_food_area_ha,livestock_feed_area_ha,woody_heating_area_ha,total_food_feed_heat_area_ha,recurring_labour_hours_year,food_energy_without_annual_soil_preparation_percent
wetter_productive,one_adult,plants_only,3.375074,75,25,0,42.041,0.037243,0.343312,0,0.195304,0.575859,54.51,75
wetter_productive,one_adult,plants_plus_chickens,3.375074,65.045,21.682,13.274,84.637,0.032299,0.297742,0.04252,0.195304,0.567865,167.27,66.372
wetter_productive,one_adult,plants_plus_rabbits,3.375074,68.445,22.815,8.741,85.173,0.033988,0.313305,0.07,0.195304,0.612597,229.74,71.504
wetter_productive,one_adult,plants_plus_chickens_rabbits,3.375074,58.489,19.496,22.014,127.769,0.029044,0.267734,0.11252,0.195304,0.604603,342.51,62.876
wetter_productive,adult_plus_child,plants_only,5.846183,75,25,0,50.898,0.064511,0.594673,0,0.195304,0.854488,296.78,75
wetter_productive,adult_plus_child,plants_plus_chickens,5.846183,69.253,23.084,7.663,80.668,0.059567,0.549103,0.04252,0.195304,0.846494,394.04,70.019
wetter_productive,adult_plus_child,plants_plus_rabbits,5.846183,71.215,23.738,5.046,81.044,0.061256,0.564666,0.07,0.195304,0.891226,461.8,72.982
wetter_productive,adult_plus_child,plants_plus_chickens_rabbits,5.846183,65.468,21.823,12.709,110.814,0.056312,0.519095,0.11252,0.195304,0.883232,559.06,68.001
wetter_productive,two_adults,plants_only,7.768697,75,25,0,43.38,0.085725,0.790231,0,0.195304,1.071261,125.46,75
wetter_productive,two_adults,plants_plus_chickens,7.768697,70.675,23.558,5.767,62.474,0.080782,0.744661,0.04252,0.195304,1.063267,238.23,71.252
wetter_productive,two_adults,plants_plus_rabbits,7.768697,72.152,24.051,3.797,62.715,0.08247,0.760224,0.07,0.195304,1.107998,300.7,73.481
wetter_productive,two_adults,plants_plus_chickens_rabbits,7.768697,67.827,22.609,9.564,81.809,0.077527,0.714653,0.11252,0.195304,1.100004,413.46,69.733
