source_file,source_sheet,source_row,source_column,value,formula,value_type
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,1,A1,Plant,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,1,B1,Price,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,1,C1,Quantity,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,1,D1,Total,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,2,A2,1yr Hazel,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,2,B2,17.5,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,2,C2,0,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,2,D2,0,of:=[.C2]*[.B2],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,3,A3,2yr Hazel,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,3,B3,35,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,3,C3,0,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,3,D3,0,of:=[.C3]*[.B3],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,4,A4,2yr Goji,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,4,B4,30,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,4,C4,2,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,4,D4,60,of:=[.C4]*[.B4],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,5,A5,1yr Heartnut,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,5,B5,20,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,5,C5,0,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,5,D5,0,of:=[.C5]*[.B5],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,6,A6,2yr Heartnut,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,6,B6,40,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,6,C6,2,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,6,D6,80,of:=[.C6]*[.B6],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,7,A7,1yr Locust,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,7,B7,10,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,7,C7,0,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,7,D7,0,of:=[.C7]*[.B7],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,8,A8,1yr Pecan,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,8,B8,15,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,8,C8,0,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,8,D8,0,of:=[.C8]*[.B8],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,9,A9,2yr Pecan,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,9,B9,30,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,9,C9,2,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,9,D9,60,of:=[.C9]*[.B9],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,10,A10,2yr Willow,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,10,B10,20,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,10,C10,0,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,10,D10,0,of:=[.C10]*[.B10],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,16,A16,Sub Total,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,16,D16,200,of:=SUM([.D2:.D15]),float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,17,A17,Bulk Discount,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,17,D17,20,of:=[.D16]*0.1,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,18,A18,Grand Total,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07-purchase,18,D18,180,of:=[.D16]-[.D17],float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,1,A1,Plant,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,1,B1,Quantity,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,2,A2,Hazelnut,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,2,B2,1,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,3,A3,Serviceberry,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,3,B3,2,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,4,A4,Grape,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,4,B4,1,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,5,A5,Currants,,string
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,2024-07 existing,5,B5,3,,float
/home/htaf/lyis/tcas/WiartonWomensInstitute/Food_forest_plan.ods,Plant Colors,1,A1,Plant Name,,string
