population,sex,age_band,activity,formula_or_adjustment,units,source,status
adult,male,19+,inactive,"753.07 - 10.83*age_y + 6.50*height_cm + 14.10*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,male,19+,low,"581.47 - 10.83*age_y + 8.30*height_cm + 14.94*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,male,19+,active,"1004.82 - 10.83*age_y + 6.52*height_cm + 15.91*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,male,19+,very,"-517.88 - 10.83*age_y + 15.61*height_cm + 19.11*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,female,19+,inactive,"584.90 - 7.01*age_y + 5.72*height_cm + 11.71*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,female,19+,low,"575.77 - 7.01*age_y + 6.60*height_cm + 12.14*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,female,19+,active,"710.25 - 7.01*age_y + 6.54*height_cm + 12.34*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
adult,female,19+,very,"511.83 - 7.01*age_y + 9.07*height_cm + 12.56*weight_kg",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
child,male,3-8,inactive,"-447.51 + 3.68*age_y + 13.01*height_cm + 13.15*weight_kg + 20",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
child,male,3-8,low,"-19.12 + 3.68*age_y + 8.62*height_cm + 20.28*weight_kg + 20",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
child,male,9-18,low,"-19.12 + 3.68*age_y + 8.62*height_cm + 20.28*weight_kg + 25",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
child,female,3-8,low,"-297.54 - 22.25*age_y + 12.77*height_cm + 14.73*weight_kg + 20",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
child,female,9-18,low,"-297.54 - 22.25*age_y + 12.77*height_cm + 14.73*weight_kg + 25",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical equation
pregnancy,all,all,all,"trimester 1 + 0; trimester 2 + 340; trimester 3 + 452",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical adjustment
lactation,all,all,all,"months 0-6 + 330; months 7-12 + 380",kcal/day,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,current canonical adjustment
