parcel_id,municipality,land_area_m2,zoning_or_land_use,assessment_class,has_residential_use,source_ref,quality_tier,notes
lotcon-1,municipality-2,860227.13,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 1; concession=3 WEST OF GARAFRAXA ROAD; legal=LOT 1, 3 WGR; linkage=none"
lotcon-2,municipality-1,1355365.28,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 14; concession=2; legal=LOT 14, CON 2; linkage=none"
lotcon-3,municipality-7,409553.00,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 32; concession=1 NORTH OF DURHAM ROAD; legal=LOT 32, CON 1 NDR; linkage=none"
lotcon-4,municipality-7,356171.98,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 159; concession=3 S W OF TORONTO AND SYDENHAM ROAD; legal=LOT 159, CON 3 SW TSR; linkage=none"
lotcon-5,municipality-7,828625.10,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 27; concession=11; legal=LOT 27, CON 11; linkage=none"
lotcon-6,municipality-3,836821.01,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 5; concession=21; legal=LOT 5, CON 21; linkage=none"
lotcon-7,municipality-1,1603997.46,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 8; concession=1; legal=LOT 8, CON 1; linkage=none"
lotcon-8,municipality-7,793386.17,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 28; concession=12; legal=LOT 28, CON 12; linkage=none"
lotcon-9,municipality-7,822550.39,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 30; concession=12; legal=LOT 30, CON 12; linkage=none"
lotcon-10,municipality-1,1443540.02,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 30; concession=COLPOY RANGE; legal=LOT 30, CON COLPOY RANGE; linkage=none"
lotcon-11,municipality-1,1528081.78,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 31; concession=COLPOY RANGE; legal=LOT 31, CON COLPOY RANGE; linkage=none"
lotcon-12,municipality-1,1437116.42,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 29; concession=COLPOY RANGE; legal=LOT 29, CON COLPOY RANGE; linkage=none"
lotcon-13,municipality-1,1575985.81,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 32; concession=COLPOY RANGE; legal=LOT 32, CON COLPOY RANGE; linkage=none"
lotcon-14,municipality-1,1422318.34,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 28; concession=COLPOY RANGE; legal=LOT 28, CON COLPOY RANGE; linkage=none"
lotcon-15,municipality-1,1513812.69,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 33; concession=COLPOY RANGE; legal=LOT 33, CON COLPOY RANGE; linkage=none"
lotcon-16,municipality-1,1447371.70,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 27; concession=COLPOY RANGE; legal=LOT 27, CON COLPOY RANGE; linkage=none"
lotcon-17,municipality-1,1974048.00,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 26; concession=COLPOY RANGE; legal=LOT 26, CON COLPOY RANGE; linkage=none"
lotcon-18,municipality-1,1385074.56,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 34; concession=COLPOY RANGE; legal=LOT 34, CON COLPOY RANGE; linkage=none"
lotcon-19,municipality-1,1382415.24,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 25; concession=COLPOY RANGE; legal=LOT 25, CON COLPOY RANGE; linkage=none"
lotcon-20,municipality-1,1346193.79,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 24; concession=COLPOY RANGE; legal=LOT 24, CON COLPOY RANGE; linkage=none"
lotcon-21,municipality-1,1351914.49,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 23; concession=COLPOY RANGE; legal=LOT 23, CON COLPOY RANGE; linkage=none"
