id,crop,category,mean_yield_t_ha,edible_yield_t_ha,food_gj_ha,protein_kg_ha,fat_kg_ha,carbohydrate_kg_ha,input_intensity,canonical_eligible,evidence_type,source,notes
potato_ontario_statcan,Potato,starch,25.33,22.797,65.65536,382.9896,22.797,3581.4087,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801,Commercial provincial benchmark; not central low-input evidence
wheat_ontario_statcan,Wheat all,starch,6.0802,5.47218,74.859422,690.041898,84.271572,3895.097724,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,All-wheat benchmark; winter wheat composition used as a proxy only for energy calculation
oats_ontario_statcan,Oats,starch,3.2928,2.96352,48.246106,500.538528,204.48288,1963.924704,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
peas_ontario_statcan,Dry peas,protein-legume,2.620,2.358,35.86518,545.1696,91.7262,1453.2354,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
dry_beans_ontario_statcan,Dry beans,protein-legume,2.8298,2.54682,36.088439,541.19925,22.92138,1610.86365,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,All dry beans benchmark; black-bean composition used as a representative dry legume
soybeans_ontario_statcan,Soybeans,protein-legume,3.429,3.0861,57.586626,1126.11789,615.36834,930.76776,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
sunflower_ontario_statcan,Sunflower seed,fat-seed,1.987,1.7883,43.723935,371.60874,920.25918,357.66,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,2021 suppressed; mean uses four reported years
rye_ontario_statcan,Rye all,starch,3.2298,2.90682,40.753616,429.046632,72.6705,2027.797632,high,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
potato_low_input_synthesis,Potato,starch,16.4645,14.81805,42.675984,248.94324,14.81805,2327.915655,low,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,65% of commercial Ontario benchmark as a conservative low-input planning case; no direct Ontario zero-input potato trial found
wheat_low_input_synthesis,Wheat,starch,3.5873,3.22857,44.166838,407.122677,49.719978,2298.096126,low,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,59% organic/conventional relation is used as a conservative anchor; organic farms still use purchased inputs and are not zero-input
oats_low_input_synthesis,Oats,starch,2.1403,1.92627,31.359676,325.347003,132.91263,1276.539129,low,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input oats series located; 65% adjustment is explicit and should be replaced if better evidence is found
peas_low_input_synthesis,Dry peas,protein-legume,1.703,1.5327,23.312367,354.36024,59.62203,944.60301,low,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input peas series located; 65% adjustment is explicit and should be replaced if better evidence is found
dry_beans_low_input_synthesis,Dry beans,protein-legume,1.8394,1.65546,23.457868,351.78525,14.89914,1047.07845,low,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input dry-bean series located; 65% adjustment is explicit and should be replaced if better evidence is found
soybean_low_input_synthesis,Soybeans,protein-legume,2.3317,2.09853,39.15857,765.753597,418.446882,632.916648,moderate,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,OCO reports organic soybean yields averaged 68% of conventional over ten years; retained as moderate-input evidence
sunflower_low_input_synthesis,Sunflower seed,fat-seed,1.2916,1.16244,28.421658,241.555032,598.191624,232.488,low,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input oilseed series located; 65% adjustment is explicit and should be replaced if better evidence is found
chestnut_yield_gap,Chestnut,starch,,,,,,,low,no,not measured,https://www.ontario.ca/page/ontario-hazelnut-and-chestnut-production,Composition is available but a defensible ordinary Grey-Bruce edible yield was not found; excluded from energy central case
walnut_yield_gap,Walnut,fruit-vegetable,,,,,,,low,no,not measured,https://www.ontario.ca/page/ontario-hazelnut-and-chestnut-production,Composition/yield pairing not used; walnut yield evidence requires a separate orchard study
fruit_vegetable_yield_gap,Apples and carrots,fruit-vegetable,,,,,,,low,no,not measured,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Low-input perennial fruit and vegetable yield evidence was not sufficiently comparable for canonical calories; these remain a required diversity allowance
