id,crop,input_intensity,synthetic_fertilizer,imported_manure_compost,biosolids,irrigation,herbicide,pesticide_fungicide,mechanized_energy,one_time_establishment,annual_purchased_inputs,recycled_on_site_nutrients,canonical_eligible,evidence_type,source,notes
potato_ontario_statcan,Potato,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801,Commercial provincial benchmark; not central low-input evidence
wheat_ontario_statcan,Wheat all,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,All-wheat benchmark; winter wheat composition used as a proxy only for energy calculation
oats_ontario_statcan,Oats,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
peas_ontario_statcan,Dry peas,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
dry_beans_ontario_statcan,Dry beans,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,All dry beans benchmark; black-bean composition used as a representative dry legume
soybeans_ontario_statcan,Soybeans,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
sunflower_ontario_statcan,Sunflower seed,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,2021 suppressed; mean uses four reported years
rye_ontario_statcan,Rye all,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Commercial provincial benchmark; not central low-input evidence
potato_low_input_synthesis,Potato,low,none in model,none in model,none,not assumed,not assumed,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,65% of commercial Ontario benchmark as a conservative low-input planning case; no direct Ontario zero-input potato trial found
wheat_low_input_synthesis,Wheat,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,59% organic/conventional relation is used as a conservative anchor; organic farms still use purchased inputs and are not zero-input
oats_low_input_synthesis,Oats,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input oats series located; 65% adjustment is explicit and should be replaced if better evidence is found
peas_low_input_synthesis,Dry peas,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input peas series located; 65% adjustment is explicit and should be replaced if better evidence is found
dry_beans_low_input_synthesis,Dry beans,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input dry-bean series located; 65% adjustment is explicit and should be replaced if better evidence is found
soybean_low_input_synthesis,Soybeans,moderate,none synthetic,rotation-dependent,none,not assumed,organic weed control,organic crop protection,mechanized establishment only,one-time included,annual organic inputs,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,OCO reports organic soybean yields averaged 68% of conventional over ten years; retained as moderate-input evidence
sunflower_low_input_synthesis,Sunflower seed,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,No Ontario multi-year low-input oilseed series located; 65% adjustment is explicit and should be replaced if better evidence is found
chestnut_yield_gap,Chestnut,low,unknown,unknown,unknown,unknown,unknown,unknown,unknown,one-time establishment,unknown,unknown,no,not measured,https://www.ontario.ca/page/ontario-hazelnut-and-chestnut-production,Composition is available but a defensible ordinary Grey-Bruce edible yield was not found; excluded from energy central case
walnut_yield_gap,Walnut,low,unknown,unknown,unknown,unknown,unknown,unknown,unknown,one-time establishment,unknown,unknown,no,not measured,https://www.ontario.ca/page/ontario-hazelnut-and-chestnut-production,Composition/yield pairing not used; walnut yield evidence requires a separate orchard study
fruit_vegetable_yield_gap,Apples and carrots,low,unknown,unknown,unknown,unknown,unknown,unknown,unknown,one-time establishment,unknown,unknown,no,not measured,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Low-input perennial fruit and vegetable yield evidence was not sufficiently comparable for canonical calories; these remain a required diversity allowance
