observation_id,crop_species,crop_group_original,energy_role_manual,gj_per_ha,yield_tonnes_per_ha,energy_density_kj_per_100g,carbs_fraction,fats_fraction,protein_fraction,classification_basis,source_sheet,source_row,source_formula_gj_per_ha
1,black walnut,tree yields,fat,25.91,1,2591,0.06,0.8,0.14,manual: nut with 80% fat in source nutrient row,tree yields,3,of:=[.B3]*10000*['plant nutrient'.E3]/1000/1000
2,N. hazelnut,tree yields,fat,26.29,1,2629,0.11,0.81,0.08,manual: nut with 81% fat in source nutrient row,tree yields,4,of:=[.B4]*10000*['plant nutrient'.E4]/1000/1000
3,pine nut,tree yields,fat,26.33,1,2633,0.08,0.85,0.07,manual: nut with 85% fat in source nutrient row,tree yields,5,of:=[.B5]*10000*['plant nutrient'.E5]/1000/1000
4,chestnut,tree yields,starch/carbohydrate,30.88,2,1544,0.89,0.04,0.07,manual: 89% carbohydrate in source nutrient row,tree yields,6,of:=[.B6]*10000*['plant nutrient'.E6]/1000/1000
5,autumn olive,tree yields,fruit,19.88,7,284,0.9,0.03,0.07,manual: fruit crop in original tree-yield section,tree yields,10,of:=[.B10]*10000*['plant nutrient'.E15]/1000/1000
6,grapes,tree yields,fruit,17.28,6,288,0.93,0.04,0.03,manual: fruit crop in original tree-yield section,tree yields,11,of:=[.B11]*10000*['plant nutrient'.E16]/1000/1000
7,apples,tree yields,fruit,13.02,6,217,0.95,0.03,0.02,manual: fruit crop in original tree-yield section,tree yields,12,of:=[.B12]*10000*['plant nutrient'.E17]/1000/1000
8,apios americana,tree yields,protein/legume,25.2,7,360,0.42,0.18,0.4,manual: edible tuber/legume-like staple; 40% protein in source nutrient row,tree yields,13,of:=[.B13]*10000*['plant nutrient'.E18]/1000/1000
9,buckwheat,annual yields,starch/carbohydrate,21.72,1.5,1448,0.79,0.08,0.13,manual: grain/starch; 79% carbohydrate in source nutrient row,annual yields,3,of:=[.B3]*10000*['plant nutrient'.E7]/1000/1000
10,rye,annual yields,starch/carbohydrate,28.3,2,1415,0.81,0.06,0.13,manual: grain/starch; 81% carbohydrate in source nutrient row,annual yields,4,of:=[.B4]*10000*['plant nutrient'.E8]/1000/1000
11,lupine,annual yields,protein/legume,31.06,2,1553,0.44,0.22,0.34,manual: legume; 34% protein in source nutrient row,annual yields,5,of:=[.B5]*10000*['plant nutrient'.E10]/1000/1000
12,wildrice,perrenial yields (spelling retained from workbook),starch/carbohydrate,14.94,1,1494,0.82,0.03,0.15,manual: grain/starch; 82% carbohydrate in source nutrient row,perrenial yields,3,of:=[.B3]*10000*['plant nutrient'.E9]/1000/1000
13,sunflower potato,perrenial yields (spelling retained from workbook),starch/carbohydrate,36.6,12,305,0.9,0,0.1,manual: potato/starch; 90% carbohydrate in source nutrient row,perrenial yields,4,of:=[.B4]*10000*['plant nutrient'.E11]/1000/1000
14,cactus pear,perrenial yields (spelling retained from workbook),fruit,20.64,12,172,0.84,0.1,0.06,manual: fruit crop in original perennial-yield section,perrenial yields,5,of:=[.B5]*10000*['plant nutrient'.E31]/1000/1000
15,cassava,perrenial yields (spelling retained from workbook),starch/carbohydrate,60.3,9,670,0.97,0.01,0.02,manual: root/starch; 97% carbohydrate in source nutrient row,perrenial yields,6,of:=[.B6]*10000*['plant nutrient'.E32]/1000/1000
