site,household,module,household_food_gj_year,perennial_food_percent,annual_food_percent,livestock_food_percent,protein_coverage_percent,annual_crop_area_ha,perennial_food_area_ha,livestock_feed_area_ha,woody_heating_area_ha,total_food_feed_heat_area_ha,recurring_labour_hours_year,food_energy_without_annual_soil_preparation_percent
wetter_productive,one_adult,plants_only,3.375074,75,25,0,102.154,0.033857,0.285897,0,0.177549,0.497303,45.82,75
wetter_productive,one_adult,small_egg_flock,3.375074,65.045,21.682,13.274,136.77,0.029363,0.247947,0.038655,0.177549,0.493514,159.74,66.372
wetter_productive,one_adult,rabbits,3.375074,68.445,22.815,8.741,140.032,0.030898,0.260908,0.063636,0.177549,0.532991,221.81,71.504
wetter_productive,one_adult,combined_livestock,3.375074,58.489,19.496,22.014,174.648,0.026404,0.222958,0.102291,0.177549,0.529202,335.73,62.876
wetter_productive,one_adult,on_site_feed_constrained_livestock,3.375074,69.143,23.048,7.81,127.871,0.031213,0.26357,0.1,0.177549,0.572332,342.24,70.699
wetter_productive,adult_plus_child,plants_only,5.846183,75,25,0,123.673,0.058646,0.49522,0,0.177549,0.731415,79.36,75
wetter_productive,adult_plus_child,small_egg_flock,5.846183,69.253,23.084,7.663,147.867,0.054152,0.457271,0.038655,0.177549,0.727627,193.28,70.019
wetter_productive,adult_plus_child,rabbits,5.846183,71.215,23.738,5.046,150.147,0.055687,0.470231,0.063636,0.177549,0.767104,255.36,72.982
wetter_productive,adult_plus_child,combined_livestock,5.846183,65.468,21.823,12.709,174.341,0.051193,0.432282,0.102291,0.177549,0.763315,369.28,68.001
wetter_productive,adult_plus_child,on_site_feed_constrained_livestock,5.846183,71.619,23.873,4.509,141.647,0.056002,0.472893,0.1,0.177549,0.806444,375.79,72.517
wetter_productive,two_adults,plants_only,7.768697,75,25,0,105.406,0.077932,0.658073,0,0.177549,0.913554,105.46,75
wetter_productive,two_adults,small_egg_flock,7.768697,70.675,23.558,5.767,120.924,0.073438,0.620124,0.038655,0.177549,0.909765,219.38,71.252
wetter_productive,two_adults,rabbits,7.768697,72.152,24.051,3.797,122.386,0.074973,0.633084,0.063636,0.177549,0.949242,281.46,73.481
wetter_productive,two_adults,combined_livestock,7.768697,67.827,22.609,9.564,137.903,0.070479,0.595135,0.102291,0.177549,0.945453,395.38,69.733
wetter_productive,two_adults,on_site_feed_constrained_livestock,7.768697,72.455,24.152,3.393,116.934,0.075288,0.635746,0.1,0.177549,0.988583,401.88,73.131
wetter_productive,two_adults_plus_one_child,plants_only,10.239806,75,25,0,116.448,0.102721,0.867396,0,0.177549,1.147667,139.02,75
wetter_productive,two_adults_plus_one_child,small_egg_flock,10.239806,71.719,23.906,4.375,129.454,0.098227,0.829447,0.038655,0.177549,1.143878,252.93,72.156
wetter_productive,two_adults_plus_one_child,rabbits,10.239806,72.839,24.28,2.881,130.679,0.099762,0.842407,0.063636,0.177549,1.183355,315.01,73.848
wetter_productive,two_adults_plus_one_child,combined_livestock,10.239806,69.558,23.186,7.256,143.685,0.095268,0.804458,0.102291,0.177549,1.179566,428.93,71.004
