crop_species,crop_group_original,yield_tonnes_per_ha,edible_fraction_original,carbs_fraction,fats_fraction,protein_fraction,energy_density_kj_per_100g,energy_density_mj_per_kg,gj_per_ha,mj_per_100m2,perennial_annual_original_or_blank,seed_kg_per_ha,hkg_per_kg_seed,source_formula_gj_per_ha,source_formula_mj_per_100m2,source_file,source_sheet,source_row,original_notes
black walnut,tree yields,1,,0.06,0.8,0.14,2591,25.91,25.91,259.1,perennial,,,of:=[.B3]*10000*['plant nutrient'.E3]/1000/1000,of:=[.D3]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,3,nutrient_source_row=3; seedling_cost=$12.00; seedling_source=grimonut.com
N. hazelnut,tree yields,1,,0.11,0.81,0.08,2629,26.29,26.29,262.9,perennial,,,of:=[.B4]*10000*['plant nutrient'.E4]/1000/1000,of:=[.D4]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,4,nutrient_source_row=4; seedling_cost=$12.00; seedling_source=grimonut.com
pine nut,tree yields,1,,0.08,0.85,0.07,2633,26.330000000000002,26.33,263.3,perennial,,,of:=[.B5]*10000*['plant nutrient'.E5]/1000/1000,of:=[.D5]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,5,nutrient_source_row=5; seedling_cost=$14.00; seedling_source=grimonut.com
chestnut,tree yields,2,,0.89,0.04,0.07,1544,15.44,30.88,308.8,perennial,,,of:=[.B6]*10000*['plant nutrient'.E6]/1000/1000,of:=[.D6]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,6,nutrient_source_row=6; seedling_cost=$15.00; seedling_source=grimonut.com
autumn olive,tree yields,7,,0.9,0.03,0.07,284,2.84,19.88,198.8,perennial,,,of:=[.B10]*10000*['plant nutrient'.E15]/1000/1000,of:=[.D10]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,10,nutrient_source_row=15; seedling_cost=; seedling_source=
grapes,tree yields,6,,0.93,0.04,0.03,288,2.88,17.28,172.8,perennial,,,of:=[.B11]*10000*['plant nutrient'.E16]/1000/1000,of:=[.D11]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,11,nutrient_source_row=16; seedling_cost=; seedling_source=
apples,tree yields,6,,0.95,0.03,0.02,217,2.17,13.02,130.2,perennial,,,of:=[.B12]*10000*['plant nutrient'.E17]/1000/1000,of:=[.D12]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,12,nutrient_source_row=17; seedling_cost=; seedling_source=
apios americana,tree yields,7,,0.42,0.18,0.4,360,3.6,25.2,252,perennial,,,of:=[.B13]*10000*['plant nutrient'.E18]/1000/1000,of:=[.D13]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,tree yields,13,nutrient_source_row=18; seedling_cost=; seedling_source=
buckwheat,annual yields,1.5,,0.79,0.08,0.13,1448,14.48,21.72,217.2,,61,24.59,of:=[.B3]*10000*['plant nutrient'.E7]/1000/1000,of:=[.D3]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,annual yields,3,nutrient_source_row=7; seedling_cost=; seedling_source=
rye,annual yields,2,,0.81,0.06,0.13,1415,14.15,28.3,283,,150,13.33,of:=[.B4]*10000*['plant nutrient'.E8]/1000/1000,of:=[.D4]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,annual yields,4,nutrient_source_row=8; seedling_cost=; seedling_source=
lupine,annual yields,2,,0.44,0.22,0.34,1553,15.530000000000001,31.06,310.6,,87,22.99,of:=[.B5]*10000*['plant nutrient'.E10]/1000/1000,of:=[.D5]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,annual yields,5,nutrient_source_row=10; seedling_cost=; seedling_source=
wildrice,perrenial yields (spelling retained from workbook),1,,0.82,0.03,0.15,1494,14.94,14.94,149.4,,,,of:=[.B3]*10000*['plant nutrient'.E9]/1000/1000,of:=[.D3]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,perrenial yields,3,nutrient_source_row=9; seedling_cost=; seedling_source=
sunflower potato,perrenial yields (spelling retained from workbook),12,,0.9,0,0.1,305,3.0500000000000003,36.6,366,,1120,10.71,of:=[.B4]*10000*['plant nutrient'.E11]/1000/1000,of:=[.D4]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,perrenial yields,4,nutrient_source_row=11; seedling_cost=; seedling_source=
cactus pear,perrenial yields (spelling retained from workbook),12,,0.84,0.1,0.06,172,1.72,20.64,206.4,perennial,,,of:=[.B5]*10000*['plant nutrient'.E31]/1000/1000,of:=[.D5]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,perrenial yields,5,nutrient_source_row=31; seedling_cost=; seedling_source=
cassava,perrenial yields (spelling retained from workbook),9,,0.97,0.01,0.02,670,6.7,60.3,603,perennial,,,of:=[.B6]*10000*['plant nutrient'.E32]/1000/1000,of:=[.D6]*0.01*1000,/home/htaf/lyis/pcan/paradise-garden.ods,perrenial yields,6,nutrient_source_row=32; seedling_cost=; seedling_source=
