food_id,food,crop_category,edible_basis,energy_kj_per_100g,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,source_food_code,source,source_date,notes
potato_white_raw,Potato white flesh and skin raw,starch,raw edible food,288,69,1.68,0.10,15.71,5285,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2026-01-28,CNF 2026 average nutrient record
apple_raw_skin,Apple raw with skin,fruit-vegetable,raw edible food,218,52,0.26,0.17,13.81,1696,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2026-01-28,CNF 2026 average nutrient record
carrot_raw,Carrot raw,fruit-vegetable,raw edible food,173,41,0.93,0.24,9.58,2380,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2026-01-28,CNF 2026 average nutrient record
black_beans_dry,Black turtle beans mature seeds dry,protein-legume,dry harvested seed,1417,338.671,21.25,0.90,63.25,3252,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2026-01-28,CNF 2026 average nutrient record; energy kJ is authoritative and kcal is retained as displayed
split_peas_dry,Split peas mature seeds dry,protein-legume,dry harvested seed,1521,364,23.12,3.89,61.63,3394,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2026-01-28,CNF 2026 average nutrient record
soybeans_dry,Soybeans mature seeds dry,protein-legume,dry harvested seed,1866,446,36.49,19.94,30.16,3400,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2026-01-28,CNF 2026 average nutrient record
sunflower_seed_dry,Sunflower seed kernels dried,fat-seed,dry harvested seed,2445,585,20.78,51.46,20.00,2526,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2012-06-19,CNF 2026 food record retaining source nutrient update dates
chestnut_chinese_raw,Chinese chestnuts raw,starch,raw edible nut,937,224,4.20,1.11,49.07,2549,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,1997-05-01,CNF composition is available but Grey-Bruce low-input yield evidence is not established in this model
chestnut_japanese_raw,Japanese chestnuts raw,starch,raw edible nut,644,154,2.25,0.53,34.91,2612,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,1997-05-01,CNF composition is available but Grey-Bruce low-input yield evidence is not established in this model
oats_dry,Oat grain dry,starch,dry harvested grain,1628,389,16.89,6.90,66.27,4421,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2009-07-02,CNF 2026 average nutrient record
winter_wheat_dry,Hard red winter wheat dry,starch,dry harvested grain,1368,327,12.61,1.54,71.18,4437,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2009-07-02,CNF 2026 average nutrient record
buckwheat_dry,Buckwheat grain dry,starch,dry harvested grain,1435,343,13.25,3.40,71.50,4487,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2009-07-02,CNF 2026 average nutrient record
rye_dry,Rye grain dry,starch,dry harvested grain,1402,335,14.76,2.50,69.76,4498,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2009-07-02,CNF 2026 average nutrient record
raspberry_raw,Raspberry raw,fruit-vegetable,raw edible food,222,53,1.20,0.65,11.94,1747,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2012-07-11,CNF nutrient record; energy converted from 53 kcal/100 g at 4.184 kJ/kcal
red_currant_raw,Red and white currant raw,fruit-vegetable,raw edible food,234,56,1.40,0.20,13.80,1709,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2012-07-10,CNF nutrient record; energy converted from 56 kcal/100 g at 4.184 kJ/kcal
gooseberry_raw,Gooseberry raw,fruit-vegetable,raw edible food,184,44,0.88,0.58,10.18,1560,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2012-07-10,CNF nutrient record; energy converted from 44 kcal/100 g at 4.184 kJ/kcal
hazelnut_dried,Hazelnut dried,fat-seed,dry edible kernel,2630,629,14.95,60.75,16.70,2567,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2013-01-17,CNF nutrient record; energy converted from 629 kcal/100 g at 4.184 kJ/kcal
black_walnut_dried,Black walnut dried,fat-seed,dry edible kernel,2592,619,24.06,59.33,9.58,2589,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,2012-06-19,CNF nutrient record; energy converted from 619 kcal/100 g at 4.184 kJ/kcal
