id,crop,category,source,geography,climate_or_site,years_measured,sample_size,mean_yield_t_ha,series_t_ha,usable_fraction,input_intensity,synthetic_fertilizer,imported_manure_compost,biosolids,irrigation,herbicide,pesticide_fungicide,mechanized_energy,one_time_establishment,annual_purchased_inputs,recycled_on_site_nutrients,canonical_eligible,evidence_type,adjustment_factor,composition_id,notes
potato_ontario_statcan,Potato,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801,Ontario,commercial mineral soils,2020-2024,provincial average,25.33,"23.54;26.90;24.65;25.78;25.78",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,potato_white_raw,Commercial provincial benchmark; not central low-input evidence
wheat_ontario_statcan,Wheat all,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,provincial average,6.0802,"5.344;5.889;6.484;6.437;6.247",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,winter_wheat_dry,All-wheat benchmark; winter wheat composition used as a proxy only for energy calculation
oats_ontario_statcan,Oats,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,provincial average,3.2928,"2.765;3.402;3.548;3.299;3.450",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,oats_dry,Commercial provincial benchmark; not central low-input evidence
peas_ontario_statcan,Dry peas,protein-legume,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,provincial average,2.620,"2.233;2.241;2.882;3.430;2.314",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,split_peas_dry,Commercial provincial benchmark; not central low-input evidence
dry_beans_ontario_statcan,Dry beans,protein-legume,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,provincial average,2.8298,"2.837;2.812;2.766;2.973;2.761",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,black_beans_dry,All dry beans benchmark; black-bean composition used as a representative dry legume
soybeans_ontario_statcan,Soybeans,protein-legume,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,provincial average,3.429,"3.409;3.490;3.230;3.458;3.558",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,soybeans_dry,Commercial provincial benchmark; not central low-input evidence
sunflower_ontario_statcan,Sunflower seed,fat-seed,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,4 reported years,1.987,"2.095;missing;1.544;2.092;2.217",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,sunflower_seed_dry,2021 suppressed; mean uses four reported years
rye_ontario_statcan,Rye all,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,commercial mineral soils,2020-2024,provincial average,3.2298,"2.864;3.283;3.610;2.834;3.558",0.90,high,yes,no,no,usually,yes,yes,high,not reported,annual,not central,no,measured benchmark,1,rye_dry,Commercial provincial benchmark; not central low-input evidence
potato_low_input_synthesis,Potato,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,Ontario,ordinary mesic analogue,2020-2024 benchmark adjusted,not directly measured,16.4645,16.4645,0.90,low,none in model,none in model,none,not assumed,not assumed,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,0.65,potato_white_raw,65% of commercial Ontario benchmark as a conservative low-input planning case; no direct Ontario zero-input potato trial found
wheat_low_input_synthesis,Wheat,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,Ontario,ordinary mesic analogue,2020-2024 benchmark adjusted,not directly measured,3.5873,3.5873,0.90,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,0.59,winter_wheat_dry,59% organic/conventional relation is used as a conservative anchor; organic farms still use purchased inputs and are not zero-input
oats_low_input_synthesis,Oats,starch,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,ordinary mesic analogue,2020-2024 benchmark adjusted,not directly measured,2.1403,2.1403,0.90,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,0.65,oats_dry,No Ontario multi-year low-input oats series located; 65% adjustment is explicit and should be replaced if better evidence is found
peas_low_input_synthesis,Dry peas,protein-legume,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,ordinary mesic analogue,2020-2024 benchmark adjusted,not directly measured,1.703,1.703,0.90,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,0.65,split_peas_dry,No Ontario multi-year low-input peas series located; 65% adjustment is explicit and should be replaced if better evidence is found
dry_beans_low_input_synthesis,Dry beans,protein-legume,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,ordinary mesic analogue,2020-2024 benchmark adjusted,not directly measured,1.8394,1.8394,0.90,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,0.65,black_beans_dry,No Ontario multi-year low-input dry-bean series located; 65% adjustment is explicit and should be replaced if better evidence is found
soybean_low_input_synthesis,Soybeans,protein-legume,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901; https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,Ontario,ordinary mesic analogue,2020-2021 organic comparator and 2020-2024 conventional benchmark,organic comparator,2.3317,2.3317,0.90,moderate,none synthetic,rotation-dependent,none,not assumed,organic weed control,organic crop protection,mechanized establishment only,one-time included,annual organic inputs,yes,yes,modelled synthesis,0.68,soybeans_dry,OCO reports organic soybean yields averaged 68% of conventional over ten years; retained as moderate-input evidence, not near-zero input
sunflower_low_input_synthesis,Sunflower seed,fat-seed,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,ordinary mesic analogue,2020-2024 benchmark adjusted,not directly measured,1.2916,1.2916,0.90,low,none in model,rotation-dependent,none,not assumed,weed control uncertain,not assumed,mechanized establishment only,one-time included,low/uncertain,yes,yes,modelled synthesis,0.65,sunflower_seed_dry,No Ontario multi-year low-input oilseed series located; 65% adjustment is explicit and should be replaced if better evidence is found
chestnut_yield_gap,Chestnut,starch,https://www.ontario.ca/page/ontario-hazelnut-and-chestnut-production,Ontario,perennial orchard,not established,not established,,,,low,unknown,unknown,unknown,unknown,unknown,unknown,unknown,one-time establishment,unknown,unknown,no,not measured,,chestnut_chinese_raw,Composition is available but a defensible ordinary Grey-Bruce edible yield was not found; excluded from energy central case
walnut_yield_gap,Walnut,fruit-vegetable,https://www.ontario.ca/page/ontario-hazelnut-and-chestnut-production,Ontario,perennial orchard,not established,not established,,,,low,unknown,unknown,unknown,unknown,unknown,unknown,unknown,one-time establishment,unknown,unknown,no,not measured,,sunflower_seed_dry,Composition/yield pairing not used; walnut yield evidence requires a separate orchard study
