id,scenario,site_class,households_in_project,land_price_cad_per_ha,land_ownership,establishment_allocation_ha,mature_productive_requirement_ha,peak_year,total_property_area_ha,total_land_value_cad,common_property_land_holding_share_monthly_cad,productive_land_charge_per_hectare_monthly_cad,productive_land_portion_monthly_cad,site_lease_monthly_cad,shared_infrastructure_monthly_cad,combined_land_infrastructure_monthly_cad,completed_dwelling_capital_cad,completed_dwelling_low_cad,completed_dwelling_high_cad,illustrative_dwelling_financing_monthly_cad,illustrative_dwelling_plus_land_shared_monthly_cad,infrastructure_scenario,administration_scenario,administration_annual_cad,administration_monthly_per_household_cad,common_property_operations_annual_cad,common_area_mode,annual_site_lease_revenue_cad,annual_land_layer_cost_cad,land_layer_break_even
one_adult_ordinary,1 adult · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.117863,1.048378,5,13.414356,469502.46,0,197.04,220.26,220.26,47.96,268.22,61000,51000,74000,353.72,621.94,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,31718.04,31718.06,true
one_adult_marginal,1 adult · marginal land,Marginal / shallow / rocky soil,12,35000,financed,2.116845,1.998649,3,25.40214,889074.9,0,197.04,417.1,417.1,47.96,465.06,61000,51000,74000,353.72,818.78,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,60063.12,60063.07,true
one_adult_plus_child,1 adult + 1 child · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.209425,1.063861,8,14.5131,507958.5,0,197.04,238.31,238.31,47.96,286.27,61000,51000,74000,353.72,639.99,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,34316.04,34316.02,true
two_adults,2 adults · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.64775,1.52161,5,19.773,692055,0,197.04,324.67,324.67,47.96,372.63,61000,51000,74000,353.72,726.35,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,46753.08,46753.11,true
family_two_children,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.748399,1.52161,3,20.980788,734327.58,0,197.04,344.51,344.51,47.96,392.47,61000,51000,74000,353.72,746.19,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,49608.84,49608.84,true
family_three_children,2 adults + 3 children · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.814724,1.52161,8,21.776688,762184.08,0,197.04,357.57,357.57,47.96,405.53,61000,51000,74000,353.72,759.25,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,51490.68,51490.72,true
family_two_children_12,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.748399,1.52161,3,20.980788,734327.58,0,197.04,344.51,344.51,47.96,392.47,61000,51000,74000,353.72,746.19,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,49608.84,49608.84,true
family_two_children_16,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,35000,financed,1.748399,1.52161,3,27.974384,979103.44,0,197.04,344.51,344.51,35.97,380.48,61000,51000,74000,353.72,734.2,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,66145.12,66145.19,true
family_two_children_25,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,35000,financed,1.748399,1.52161,3,43.709975,1529849.12,0,197.04,344.51,344.51,23.02,367.53,61000,51000,74000,353.72,721.25,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,103351.75,103351.73,true
family_two_children_50,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,35000,financed,1.748399,1.52161,3,87.41995,3059698.25,0,197.04,344.51,344.51,11.51,356.02,61000,51000,74000,353.72,709.74,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,206703.5,206703.58,true
family_two_children_12_20000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,20000,financed,1.748399,1.52161,3,20.980788,419615.76,0,112.59,196.86,196.86,47.96,244.82,61000,51000,74000,353.72,598.54,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,28347.96,28347.96,true
family_two_children_12_20000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,20000,owned_out_right,1.748399,1.52161,3,20.980788,419615.76,0,16.67,29.14,29.14,47.96,77.1,61000,51000,74000,353.72,430.82,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,4196.16,4196.16,true
family_two_children_12_20000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,20000,donated_land_trust,1.748399,1.52161,3,20.980788,419615.76,0,16.67,29.14,29.14,47.96,77.1,61000,51000,74000,353.72,430.82,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,4196.16,4196.16,true
family_two_children_12_35000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,35000,financed,1.748399,1.52161,3,20.980788,734327.58,0,197.04,344.51,344.51,47.96,392.47,61000,51000,74000,353.72,746.19,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,49608.84,49608.84,true
family_two_children_12_35000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,35000,owned_out_right,1.748399,1.52161,3,20.980788,734327.58,0,29.17,50.99,50.99,47.96,98.95,61000,51000,74000,353.72,452.67,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,7343.28,7343.28,true
family_two_children_12_35000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,35000,donated_land_trust,1.748399,1.52161,3,20.980788,734327.58,0,29.17,50.99,50.99,47.96,98.95,61000,51000,74000,353.72,452.67,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,7343.28,7343.28,true
family_two_children_12_60000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,60000,financed,1.748399,1.52161,3,20.980788,1258847.28,0,337.78,590.58,590.58,47.96,638.54,61000,51000,74000,353.72,992.26,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,85043.76,85043.75,true
family_two_children_12_60000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,60000,owned_out_right,1.748399,1.52161,3,20.980788,1258847.28,0,50,87.42,87.42,47.96,135.38,61000,51000,74000,353.72,489.1,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,12588.48,12588.47,true
family_two_children_12_60000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,12,60000,donated_land_trust,1.748399,1.52161,3,20.980788,1258847.28,0,50,87.42,87.42,47.96,135.38,61000,51000,74000,353.72,489.1,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,12588.48,12588.47,true
family_two_children_16_20000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,20000,financed,1.748399,1.52161,3,27.974384,559487.68,0,112.59,196.86,196.86,35.97,232.83,61000,51000,74000,353.72,586.55,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,37797.28,37797.24,true
family_two_children_16_20000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,20000,owned_out_right,1.748399,1.52161,3,27.974384,559487.68,0,16.67,29.14,29.14,35.97,65.11,61000,51000,74000,353.72,418.83,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,5594.88,5594.88,true
family_two_children_16_20000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,20000,donated_land_trust,1.748399,1.52161,3,27.974384,559487.68,0,16.67,29.14,29.14,35.97,65.11,61000,51000,74000,353.72,418.83,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,5594.88,5594.88,true
family_two_children_16_35000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,35000,financed,1.748399,1.52161,3,27.974384,979103.44,0,197.04,344.51,344.51,35.97,380.48,61000,51000,74000,353.72,734.2,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,66145.12,66145.19,true
family_two_children_16_35000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,35000,owned_out_right,1.748399,1.52161,3,27.974384,979103.44,0,29.17,50.99,50.99,35.97,86.96,61000,51000,74000,353.72,440.68,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,9791.04,9791.03,true
family_two_children_16_35000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,35000,donated_land_trust,1.748399,1.52161,3,27.974384,979103.44,0,29.17,50.99,50.99,35.97,86.96,61000,51000,74000,353.72,440.68,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,9791.04,9791.03,true
family_two_children_16_60000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,60000,financed,1.748399,1.52161,3,27.974384,1678463.04,0,337.78,590.58,590.58,35.97,626.55,61000,51000,74000,353.72,980.27,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,113391.68,113391.71,true
family_two_children_16_60000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,60000,owned_out_right,1.748399,1.52161,3,27.974384,1678463.04,0,50,87.42,87.42,35.97,123.39,61000,51000,74000,353.72,477.11,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,16784.64,16784.63,true
family_two_children_16_60000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,16,60000,donated_land_trust,1.748399,1.52161,3,27.974384,1678463.04,0,50,87.42,87.42,35.97,123.39,61000,51000,74000,353.72,477.11,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,16784.64,16784.63,true
family_two_children_25_20000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,20000,financed,1.748399,1.52161,3,43.709975,874199.5,0,112.59,196.86,196.86,23.02,219.88,61000,51000,74000,353.72,573.6,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,59058,59058.12,true
family_two_children_25_20000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,20000,owned_out_right,1.748399,1.52161,3,43.709975,874199.5,0,16.67,29.14,29.14,23.02,52.16,61000,51000,74000,353.72,405.88,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,8742,8741.99,true
family_two_children_25_20000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,20000,donated_land_trust,1.748399,1.52161,3,43.709975,874199.5,0,16.67,29.14,29.14,23.02,52.16,61000,51000,74000,353.72,405.88,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,8742,8741.99,true
family_two_children_25_35000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,35000,financed,1.748399,1.52161,3,43.709975,1529849.12,0,197.04,344.51,344.51,23.02,367.53,61000,51000,74000,353.72,721.25,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,103351.75,103351.73,true
family_two_children_25_35000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,35000,owned_out_right,1.748399,1.52161,3,43.709975,1529849.12,0,29.17,50.99,50.99,23.02,74.01,61000,51000,74000,353.72,427.73,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,15298.5,15298.49,true
family_two_children_25_35000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,35000,donated_land_trust,1.748399,1.52161,3,43.709975,1529849.12,0,29.17,50.99,50.99,23.02,74.01,61000,51000,74000,353.72,427.73,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,15298.5,15298.49,true
family_two_children_25_60000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,60000,financed,1.748399,1.52161,3,43.709975,2622598.5,0,337.78,590.58,590.58,23.02,613.6,61000,51000,74000,353.72,967.32,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,177174.5,177174.47,true
family_two_children_25_60000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,60000,owned_out_right,1.748399,1.52161,3,43.709975,2622598.5,0,50,87.42,87.42,23.02,110.44,61000,51000,74000,353.72,464.16,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,26226,26225.98,true
family_two_children_25_60000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,25,60000,donated_land_trust,1.748399,1.52161,3,43.709975,2622598.5,0,50,87.42,87.42,23.02,110.44,61000,51000,74000,353.72,464.16,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,26226,26225.98,true
family_two_children_50_20000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,20000,financed,1.748399,1.52161,3,87.41995,1748399,0,112.59,196.86,196.86,11.51,208.37,61000,51000,74000,353.72,562.09,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,118116.5,118116.35,true
family_two_children_50_20000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,20000,owned_out_right,1.748399,1.52161,3,87.41995,1748399,0,16.67,29.14,29.14,11.51,40.65,61000,51000,74000,353.72,394.37,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,17484,17483.99,true
family_two_children_50_20000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,20000,donated_land_trust,1.748399,1.52161,3,87.41995,1748399,0,16.67,29.14,29.14,11.51,40.65,61000,51000,74000,353.72,394.37,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,17484,17483.99,true
family_two_children_50_35000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,35000,financed,1.748399,1.52161,3,87.41995,3059698.25,0,197.04,344.51,344.51,11.51,356.02,61000,51000,74000,353.72,709.74,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,206703.5,206703.58,true
family_two_children_50_35000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,35000,owned_out_right,1.748399,1.52161,3,87.41995,3059698.25,0,29.17,50.99,50.99,11.51,62.5,61000,51000,74000,353.72,416.22,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,30597,30596.98,true
family_two_children_50_35000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,35000,donated_land_trust,1.748399,1.52161,3,87.41995,3059698.25,0,29.17,50.99,50.99,11.51,62.5,61000,51000,74000,353.72,416.22,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,30597,30596.98,true
family_two_children_50_60000_financed,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,60000,financed,1.748399,1.52161,3,87.41995,5245197,0,337.78,590.58,590.58,11.51,602.09,61000,51000,74000,353.72,955.81,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,354349,354348.93,true
family_two_children_50_60000_owned_out_right,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,60000,owned_out_right,1.748399,1.52161,3,87.41995,5245197,0,50,87.42,87.42,11.51,98.93,61000,51000,74000,353.72,452.65,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,52452,52451.97,true
family_two_children_50_60000_donated_land_trust,2 adults + 2 children · ordinary land,Ordinary / mesic Grey County soil,50,60000,donated_land_trust,1.748399,1.52161,3,87.41995,5245197,0,50,87.42,87.42,11.51,98.93,61000,51000,74000,353.72,452.65,legal_minimum,legal_minimum,0,0,0,pooled_planning_assumption,52452,52451.97,true
