households,land_price_cad_per_ha,land_ownership,property_area_ha,land_value_cad,land_finance_month_cad,common_property_land_holding_share_month_cad,productive_land_charge_per_ha_month_cad,productive_land_portion_month_cad,site_lease_month_cad,shared_service_month_cad,land_infrastructure_month_cad
12,20000,financed,21.876628,437532.56,2098.58,0.94,112.59,204.33,205.27,47.96,253.23
12,20000,owned_out_right,21.876628,437532.56,0,0.14,16.67,30.25,30.38,47.96,78.34
12,20000,donated_land_trust,21.876628,437532.56,0,0.14,16.67,30.25,30.38,47.96,78.34
12,30000,financed,21.876628,656298.84,3147.87,1.41,168.89,306.49,307.9,47.96,355.86
12,30000,owned_out_right,21.876628,656298.84,0,0.21,25,45.37,45.58,47.96,93.54
12,30000,donated_land_trust,21.876628,656298.84,0,0.21,25,45.37,45.58,47.96,93.54
12,35000,financed,21.876628,765681.98,3672.52,1.64,197.04,357.57,359.22,47.96,407.18
12,35000,owned_out_right,21.876628,765681.98,0,0.24,29.17,52.93,53.17,47.96,101.13
12,35000,donated_land_trust,21.876628,765681.98,0,0.24,29.17,52.93,53.17,47.96,101.13
12,40000,financed,21.876628,875065.12,4197.17,1.88,225.19,408.66,410.53,47.96,458.49
12,40000,owned_out_right,21.876628,875065.12,0,0.28,33.33,60.49,60.77,47.96,108.73
12,40000,donated_land_trust,21.876628,875065.12,0,0.28,33.33,60.49,60.77,47.96,108.73
12,60000,financed,21.876628,1312597.68,6295.75,2.81,337.78,612.99,615.8,47.96,663.76
12,60000,owned_out_right,21.876628,1312597.68,0,0.42,50,90.74,91.15,47.96,139.11
12,60000,donated_land_trust,21.876628,1312597.68,0,0.42,50,90.74,91.15,47.96,139.11
16,20000,financed,29.135524,582710.48,2794.91,0.7,112.59,204.33,205.03,35.97,241
16,20000,owned_out_right,29.135524,582710.48,0,0.1,16.67,30.25,30.35,35.97,66.32
16,20000,donated_land_trust,29.135524,582710.48,0,0.1,16.67,30.25,30.35,35.97,66.32
16,30000,financed,29.135524,874065.72,4192.37,1.05,168.89,306.49,307.55,35.97,343.52
16,30000,owned_out_right,29.135524,874065.72,0,0.16,25,45.37,45.52,35.97,81.49
16,30000,donated_land_trust,29.135524,874065.72,0,0.16,25,45.37,45.52,35.97,81.49
16,35000,financed,29.135524,1019743.34,4891.1,1.23,197.04,357.57,358.81,35.97,394.78
16,35000,owned_out_right,29.135524,1019743.34,0,0.18,29.17,52.93,53.11,35.97,89.08
16,35000,donated_land_trust,29.135524,1019743.34,0,0.18,29.17,52.93,53.11,35.97,89.08
16,40000,financed,29.135524,1165420.96,5589.83,1.41,225.19,408.66,410.06,35.97,446.03
16,40000,owned_out_right,29.135524,1165420.96,0,0.21,33.33,60.49,60.7,35.97,96.67
16,40000,donated_land_trust,29.135524,1165420.96,0,0.21,33.33,60.49,60.7,35.97,96.67
16,60000,financed,29.135524,1748131.44,8384.74,2.11,337.78,612.98,615.09,35.97,651.06
16,60000,owned_out_right,29.135524,1748131.44,0,0.31,50,90.74,91.05,35.97,127.02
16,60000,donated_land_trust,29.135524,1748131.44,0,0.31,50,90.74,91.05,35.97,127.02
25,20000,financed,45.46804,909360.8,4361.66,0.45,112.59,204.33,204.78,23.02,227.8
25,20000,owned_out_right,45.46804,909360.8,0,0.07,16.67,30.25,30.31,23.02,53.33
25,20000,donated_land_trust,45.46804,909360.8,0,0.07,16.67,30.25,30.31,23.02,53.33
25,30000,financed,45.46804,1364041.2,6542.49,0.68,168.89,306.49,307.17,23.02,330.19
25,30000,owned_out_right,45.46804,1364041.2,0,0.1,25,45.37,45.47,23.02,68.49
25,30000,donated_land_trust,45.46804,1364041.2,0,0.1,25,45.37,45.47,23.02,68.49
25,35000,financed,45.46804,1591381.4,7632.91,0.79,197.04,357.57,358.36,23.02,381.38
25,35000,owned_out_right,45.46804,1591381.4,0,0.12,29.17,52.93,53.05,23.02,76.07
25,35000,donated_land_trust,45.46804,1591381.4,0,0.12,29.17,52.93,53.05,23.02,76.07
25,40000,financed,45.46804,1818721.6,8723.32,0.9,225.19,408.66,409.56,23.02,432.58
25,40000,owned_out_right,45.46804,1818721.6,0,0.13,33.33,60.49,60.62,23.02,83.64
25,40000,donated_land_trust,45.46804,1818721.6,0,0.13,33.33,60.49,60.62,23.02,83.64
25,60000,financed,45.46804,2728082.4,13084.99,1.35,337.78,612.99,614.34,23.02,637.36
25,60000,owned_out_right,45.46804,2728082.4,0,0.2,50,90.74,90.94,23.02,113.96
25,60000,donated_land_trust,45.46804,2728082.4,0,0.2,50,90.74,90.94,23.02,113.96
